TKN_PROGRAM	program	1
TKN_ELSE	else	12
TKN_LBRACE	{	12
TKN_ID	dm	13
TKN_ASSIGN	=	13
TKN_ID	dm	13
TKN_PRODUCT	*	13
TKN_NUM	10000	13
TKN_SEMICOLON	;	13
TKN_RBRACE	}	14
TKN_FI	fi	15
TKN_IF	if	15
TKN_LPARENT	(	15
TKN_ID	m	15
TKN_EQUAL	==	15
TKN_NUM	3	15
TKN_RPARENT	)	15
TKN_LBRACE	{	15
TKN_ID	m	16
TKN_ASSIGN	=	16
TKN_NUM	5000	16
TKN_SEMICOLON	;	16
TKN_RBRACE	}	17
TKN_ELSE	else	17
TKN_LBRACE	{	17
TKN_ID	m	18
TKN_ASSIGN	=	18
TKN_ID	m	18
TKN_PRODUCT	*	18
TKN_NUM	1000	18
TKN_SEMICOLON	;	18
TKN_RBRACE	}	19
TKN_FI	fi	20
TKN_IF	if	20
TKN_LPARENT	(	20
TKN_ID	c	20
TKN_EQUAL	==	20
TKN_NUM	3	20
TKN_RPARENT	)	20
TKN_LBRACE	{	20
TKN_ID	c	21
TKN_ASSIGN	=	21
TKN_NUM	500	21
TKN_SEMICOLON	;	21
TKN_RBRACE	}	22
TKN_ELSE	else	22
TKN_LBRACE	{	22
TKN_ID	c	23
TKN_ASSIGN	=	23
TKN_ID	c	23
TKN_PRODUCT	*	23
TKN_NUM	100	23
TKN_SEMICOLON	;	23
TKN_RBRACE	}	24
TKN_FI	fi	25
TKN_IF	if	25
TKN_LPARENT	(	25
TKN_ID	d	25
TKN_EQUAL	==	25
TKN_NUM	3	25
TKN_RPARENT	)	25
TKN_LBRACE	{	25
TKN_ID	d	26
TKN_ASSIGN	=	26
TKN_NUM	50	26
TKN_SEMICOLON	;	26
TKN_RBRACE	}	27
TKN_ELSE	else	27
TKN_LBRACE	{	27
TKN_ID	d	28
TKN_ASSIGN	=	28
TKN_ID	d	28
TKN_PRODUCT	*	28
TKN_NUM	10	28
TKN_SEMICOLON	;	28
TKN_RBRACE	}	29
TKN_FI	fi	30
TKN_IF	if	30
TKN_LPARENT	(	30
TKN_ID	u	30
TKN_EQUAL	==	30
TKN_NUM	3	30
TKN_RPARENT	)	30
TKN_LBRACE	{	30
TKN_ID	u	31
TKN_ASSIGN	=	31
TKN_NUM	5	31
TKN_SEMICOLON	;	31
TKN_RBRACE	}	32
TKN_FI	fi	33
TKN_ID	r	33
TKN_ASSIGN	=	33
TKN_ID	dm	33
TKN_ADD	+	33
TKN_ID	m	33
TKN_ADD	+	33
TKN_ID	c	33
TKN_ADD	+	33
TKN_ID	d	33
TKN_ADD	+	33
TKN_ID	u	33
TKN_SEMICOLON	;	33
TKN_WRITE	write	34
TKN_ID	r	34
TKN_SEMICOLON	;	34
TKN_ID	cont	36
TKN_ASSIGN	=	36
TKN_ID	cont	36
TKN_ADD	+	36
TKN_NUM	1	36
TKN_SEMICOLON	;	36
TKN_RBRACE	}	37
TKN_RBRACE	}	38
TKN_EOF	$	38
